powiat,rok,wartość
powiat wschowski,2018,1056.61
powiat wschowski,2019,1190.04
powiat Zielona Góra,2011,0.0
powiat Zielona Góra,2012,0.0
powiat Zielona Góra,2013,0.0
powiat Zielona Góra,2014,0.0
powiat Zielona Góra,2015,0.0
powiat Zielona Góra,2016,0.0
powiat Zielona Góra,2017,0.0
powiat Zielona Góra,2018,0.0
powiat Zielona Góra,2019,0.0
powiat jarociński,2011,985.56
powiat jarociński,2012,965.83
powiat jarociński,2013,901.04
powiat jarociński,2014,920.59
powiat jarociński,2015,1005.61
powiat jarociński,2016,990.87
powiat jarociński,2017,1084.38
powiat jarociński,2018,1159.07
powiat jarociński,2019,1288.61
powiat kaliski,2011,508.39
powiat kaliski,2012,491.98
powiat kaliski,2013,565.12
powiat kaliski,2014,575.47
powiat kaliski,2015,619.59
powiat kaliski,2016,603.55
powiat kaliski,2017,621.94
powiat kaliski,2018,836.47
powiat kaliski,2019,844.91
powiat kępiński,2011,768.65
powiat kępiński,2012,825.65
powiat kępiński,2013,836.11
powiat kępiński,2014,911.55
powiat kępiński,2015,860.75
powiat kępiński,2016,950.63
powiat kępiński,2017,1114.25
powiat kępiński,2018,1233.42
powiat kępiński,2019,1344.35
powiat krotoszyński,2011,1024.76
powiat krotoszyński,2012,1010.85
powiat krotoszyński,2013,990.81
powiat krotoszyński,2014,1077.53
powiat krotoszyński,2015,1078.92
powiat krotoszyński,2016,1047.38
powiat krotoszyński,2017,1113.51
powiat krotoszyński,2018,1223.14
powiat krotoszyński,2019,1284.28
"powiat ostrowski, wielkopolskie",2011,851.03
"powiat ostrowski, wielkopolskie",2012,829.61
"powiat ostrowski, wielkopolskie",2013,824.92
"powiat ostrowski, wielkopolskie",2014,870.74
"powiat ostrowski, wielkopolskie",2015,836.59
"powiat ostrowski, wielkopolskie",2016,865.12
"powiat ostrowski, wielkopolskie",2017,905.93
"powiat ostrowski, wielkopolskie",2018,1029.45
"powiat ostrowski, wielkopolskie",2019,1176.3
powiat ostrzeszowski,2011,1144.56
powiat ostrzeszowski,2012,1114.77
powiat ostrzeszowski,2013,1063.14
powiat ostrzeszowski,2014,1056.51
powiat ostrzeszowski,2015,1068.64
powiat ostrzeszowski,2016,1124.39
powiat ostrzeszowski,2017,1144.7
powiat ostrzeszowski,2018,1218.69
powiat ostrzeszowski,2019,1399.68
powiat pleszewski,2011,1188.6
powiat pleszewski,2012,1207.39
powiat pleszewski,2013,1339.93
